date;event_type;fission_time;fusion_time;group_A;group_B;direction;comments
2021-12-25;fission ;before start;;Lun, Plu, Pla, Ven, Gus;Qua, Sat, Luc, Orb, Est, Com;;
2021-12-25;fusion;;11:59;Lun, Plu, Pla, Ven, Gus;Qua, Sat, Luc, Orb, Est, Com;B -> A;
2021-12-25;fission ;12:21;;Gus, Ven, Orb;Lun, Luc, Est, Plu, Qua, Pla, Sat, Com;B <- A;
2021-12-25;fission ;12:31;;Orb;Ven, Gus;A <- B;
2021-12-25;fusion;;12:32;Orb;Lun, Luc, Est, Plu, Qua, Pla, Sat, Com;A -> B;
2021-12-25;fission;12:36;;Ven;Gus;A <- B;
2021-12-25;fusion;;12:40;Ven;Lun, Luc, Est, Plu, Qua, Pla, Sat, Com, Orb;A -> B;
2021-12-26;fission;before start;;Gus ;Lun, Luc, Est, Plu, Qua, Pla, Sat, Com, Orb;;
2021-12-26;fission;before start;;Ven;Lun, Luc, Est, Plu, Qua, Pla, Sat, Com, Orb;;
2021-12-26;fission;12:04;;Est;Lun, Luc, Plu, Qua, Pla, Sat, Orb, Com;A <=> B;
2021-12-26;fusion;;12:19;Est;Lun, Luc, Plu, Qua, Pla, Sat, Orb, Com;A -> B;
2021-12-26;fission;13:06;;Lun, Luc, Plu, Qua, Pla, Sat, Orb, Com;Est;A -> B;
2021-12-26;fusion;;13:37;Est;Lun, Luc, Plu, Qua, Pla, Sat, Orb, Com;A -> B;
2021-12-26;fission;13:50;;Com;Lun, Luc, Plu, Qua, Pla, Sat, Orb, Est;A <- B;could be GPS error
2021-12-26;fusion;;14:00;Com;Lun, Luc, Plu, Qua, Pla, Sat, Orb, Est;A -> B;could be GPS error
2021-12-27;fusion;before start;;Gus;Lun, Luc, Plu, Qua, Pla, Sat, Orb, Com, Est;;
2021-12-27;fusion;before start;;Ven;Lun, Luc, Plu, Qua, Pla, Sat, Orb, Com, Est;;
2021-12-27;fission;12:20;;Pla, Orb, Plu, Sat;Lun, Est, Com, Qua, Luc;A <- B;
2021-12-27;fusion;;12:57;Pla, Orb, Plu, Sat;Lun, Est, Com, Qua, Luc;B -> A;
2021-12-27;fission;13:27;;Pla, Plu, Sat;Lun, Est, Com, Qua, Luc, Orb;B <- A;
2021-12-27;fusion;;13:48;Pla, Plu, Sat;Lun, Est, Com, Qua, Luc, Orb;A -> B;
2021-12-28;fusion;before start;;Gus;Lun, Luc, Plu, Qua, Pla, Sat, Orb, Com, Est;;
2021-12-28;fusion;before start;;Ven;Lun, Luc, Plu, Qua, Pla, Sat, Orb, Com, Est;;
2021-12-28;fission;11:55;;Qua, Com, Luc, Est, Lun;Orb, Plu, Sat, Pla;A <=> B;
2021-12-28;fusion;;12:29;Qua, Com, Luc, Est, Lun;Orb, Plu, Sat, Pla;B -> A;
2021-12-28;fusion;;13:01;Gus;Lun, Luc, Plu, Qua, Pla, Sat, Orb, Com, Est;A -> B;
2021-12-28;fission;13:02;;Gus;Lun, Luc, Plu, Qua, Pla, Sat, Orb, Com, Est;A <- B;could have been aggressive
2021-12-29;fission;before start;;Est, Qua, Com, Lun, Luc;Sat, Gus, Ven, Orb, Pla, Plu;;
2021-12-29;fission;12:38;;Gus;Sat, Ven, Orb, Pla, Plu;A <- B;
2021-12-29;fusion;;13:36;Gus;Sat, Ven, Orb, Pla, Plu;A -> B;
2021-12-30;fission;before start;;Lun, Qua, Est, Com, Luc;Ven, Orb, Plu, Sat, Gus, Pla;;
2021-12-30;fission;12:43;;Gus;Ven, Orb, Plu, Sat, Pla;A <- B;
2021-12-30;fission;13:01;;Est;Lun, Qua, Com, Luc;A <- B;
2021-12-30;fusion;;13:03;Gus;Ven, Orb, Plu, Sat, Pla;A -> B;
2021-12-30;fusion;;13:17;Est;Lun, Qua, Com, Luc;B -> A;
2021-12-30;fission;13:31;;Gus;Ven, Orb, Plu, Sat, Pla;A <- B;
2021-12-31;fission;before start;;Gus;2 sub groups;;
2021-12-31;fission;before start;;Luc, Est, Qua, Lun, Com;Sat, Plu, Pla, Ven, Orb;;
2021-12-31;fission;12:58;;Sat;Plu, Pla, Ven, Orb;A <=> B;
