date;event_type;fission_time;fusion_time;focus_group;group_A;group_B;group_C;direction;comments
2023-01-19;fission;12:24;;subgroup (5);Zelenskyy, Truss, Meir;Gillard, Torrijos;;A <- B;
2023-01-19;fusion;;12:33;subgroup (5);Zelenskyy, Truss, Meir;Gillard, Torrijos;;B -> A;
2023-01-20;fusion;;12:29;full group (16);Ardern, Cleopatra, Mujica, Obama, Gandhi;Moscoso, Zelenskyy, Peron, Truss, Castro, Merkel, Meir, Khan, Gillard, May, Torrijos; ;A -> B;
2023-01-20;fission;12:51;;full group (16);Zelenskyy, Truss, Meir, Peron, Castro, May, Torrijos;Moscoso, Ardern, Merkel, Mujica, Gillard, Obama, Gandhi, Khan, Cleopatra; ;A <=> B;
2023-01-20;fusion;;13:04;full group (16);Zelenskyy, Truss, Meir, Peron, Castro, May, Torrijos;Moscoso, Ardern, Merkel, Mujica, Gillard, Obama, Gandhi, Khan, Cleopatra; ;A -> B;
2023-01-20;fission;13:22;;full group (16);Merkel, Ardern, Zelenskyy, Gandhi, Mujica, Obama, Cleopatra;Moscoso, Truss, Meir, Torrijos, Gillard, Khan, Peron; ;B <- A;
2023-01-20;fusion;;13:31;full group (16);Merkel, Ardern, Zelenskyy, Gandhi, Mujica, Obama, Cleopatra;Moscoso, Truss, Meir, Torrijos, Gillard, Khan, Peron; ;A -> B;
2023-01-21;fission;11:42;;subgroup (11);Cleopatra, Ardern, Merkel, Moscoso, Khan;May, Castro, Gandhi, Obama, Meir, Mujica; ;A <- B;
2023-01-21;fusion;;11:57;subgroup (11);Cleopatra, Ardern, Merkel, Moscoso, Khan;May, Castro, Gandhi, Obama, Meir, Mujica; ;B -> A;
2023-01-21;fission;12:30;;subgroup (11);Merkel, May, Khan, Moscoso, Castro;Meir, Mujica, Obama, Gandhi, Ardern, Cleopatra; ;B <- A;
2023-01-21;fusion;;12:46;subgroup (11);Merkel, May, Khan, Moscoso, Castro;Meir, Mujica, Obama, Gandhi, Ardern, Cleopatra; ;A -> B;
2023-01-21;fusion;;13:00;full group (15 -no Peron);Torrijos, Truss, Zelenskyy, Gillard;Castro, Khan, Obama, May, Mujca, Ardern, Moscoso, Merkel, Cleopatra, Gandhi, Meir; ;A -> B;
2023-01-22;fission;11:25;;sub group (6);Meir, Castro, Torrijos, Mujica, Gillard, Truss;Lula;;B <- A;
2023-01-22;fusion;;11:37;sub group (6);Meir, Castro, Torrijos, Mujica, Gillard, Truss;Sam;;A -> B;
2023-01-22;fission;12:06;;sub group (6);Meir, Castro, Torrijos, Mujica, Gillard, Truss;Sam;;B <- A;Sam could have been displaced
2023-01-22;almost fission; ;13:00;sub group (9);Moscoso, May, Gandhi, Ardern, Cleopatra, Merkel, Zelenskyy, Khan, Obama;Lula;;B -> A;Lula could have been displaced so went away from the group
2023-01-23;fission;11:26;;full group (15 -no Peron);Meir, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Gillard;Castro, Gandhi, Moscoso, May, Merkel, Khan; ;A <- B;
2023-01-23;fusion;;11:33;sub group (9);Meir, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Gillard;Sam;;A -> B;Sam not moving
2023-01-23;fusion;;11:41;full group (15 -no Peron);Meir, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Gillard, Sam;Castro, Gandhi, Moscoso, May, Merkel, Khan; ;B -> A;followig same route - likely smell trail
2023-01-23;fission;12:11;;full group (15 -no Peron);Meir, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Gillard,Castro, Gandhi, Moscoso, May, Merkel, Khan;Sam;;B <- A;
2023-01-23;fission;12:25;;full group (15 -no Peron);Meir, Torrijos, Obama, Zelenskyy, Truss, Mujica, Cleopatra, Gillard,Castro, Gandhi, Moscoso, May, Merkel, Khan;Ardern;;A <- B;Ardern around 40 m from group 
2023-01-23;fusion;;12:40;full group (15 -no Peron);Meir, Torrijos, Obama, Zelenskyy, Truss, Mujica, Cleopatra, Gillard,Castro, Gandhi, Moscoso, May, Merkel, Khan;Ardern;;B -> A;
2023-01-23;fusion;;12:50;full group (15 -no Peron);Meir, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Gillard,Castro, Gandhi, Moscoso, May, Merkel, Khan;Mandela;;B -> A;Mandela staying at periphery of group
2023-01-23;fission;13:01;;full group (15 -no Peron); Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Gillard, Gandhi, Moscoso, May, Khan;Castro, Meir, Mandela, Merkel, Cleopatra; ;A <=> B;
2023-01-23;fusion;;13:09;full group (15 -no Peron); Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Gillard, Gandhi, Moscoso, May, Khan;Castro, Meir, Mandela, Merkel, Cleopatra; ;A == B;
2023-01-23;fission;13:12;;full group (15 -no Peron);Moscoso, Meir, Zelenskyy, Truss, Khan, Obama, Gillard, Ardern, Torrijos;Castro, Mandela, May, Gandhi, Merkel, Mujica, Cleopatra; ;A <=> B;
2023-01-23;fission;13:23;;sub group (6);Castro, May, Gandhi, Merkel, Mujica, Cleopatra;Mandela; ;B <- A;
2023-01-23;fusion;;13:25;sub group (9);Moscoso, Meir, Zelenskyy, Truss, Khan, Obama, Gillard, Ardern, Torrijos;Mandela;;B -> A;
2023-01-23;fusion;;13:37;full group (15 -no Peron);Moscoso, Meir, Zelenskyy, Truss, Khan, Obama, Gillard, Ardern, Torrijos, Mandela;Castro, May, Gandhi, Merkel, Mujica, Cleopatra; ;B -> A;
2023-01-24;fission;12:31;;full group (15 -no Peron);Meir, Torrijos, Obama, Ardern, Mujica, Cleopatra, Gillard,Castro, Gandhi, Moscoso, May, Merkel, Khan;Zelenskyy, Truss;;A <- B;In general Truss was at the back of the group for most of the moving
2023-01-24;fusion;;12:49;full group (15 -no Peron);Meir, Torrijos, Obama, Ardern, Mujica, Cleopatra, Gillard,Castro, Gandhi, Moscoso, May, Merkel, Khan;Zelenskyy, Truss;;B -> A;
2023-01-25;fission;11:54;;full group (15 -no Peron); Ardern, Truss, Torrijos, Gillard;May, Meir, Castro, Zelenskyy, Khan, Obama, Moscoso, Cleopatra, Gandhi, Mandela, Mujica, Merkel; ;A <- B;
2023-01-25;fission;12:10;;sub group (11);May, Meir, Castro, Zelenskyy, Khan, Obama, Moscoso, Cleopatra, Gandhi, Mujica, Merkel;Mandela;;B <- A;
2023-01-25;fusion;;12:15;sub group (4);Mandela; Ardern, Truss, Torrijos, Gillard;;A -> B;
2023-01-25;fission;12:26;;sub group (4);Mandela; Ardern, Truss, Torrijos, Gillard;;B <- A;
2023-01-25;fusion;;12:26;full group (15 -no Peron); Ardern, Truss, Torrijos, Gillard, Mandela;May, Meir, Castro, Zelenskyy, Khan, Obama, Moscoso, Cleopatra, Gandhi, Mujica, Merkel; ;A -> B;
